date;ph;suhu;amonia;label
24/08/2024 09:36;562;1603;169;Bahaya
25/08/2024 09:36;966;2563;279;Bahaya
26/08/2024 09:36;812;2581;177;Normal
27/08/2024 09:36;719;2775;89;Normal
28/08/2024 09:36;409;2952;121;Bahaya
29/08/2024 09:36;409;3452;461;Bahaya
30/08/2024 09:36;341;2533;206;Bahaya
31/08/2024 09:36;906;2146;364;Bahaya
01/09/2024 09:36;721;309;503;Bahaya
02/09/2024 09:36;796;2042;69;Bahaya
03/09/2024 09:36;314;2378;39;Bahaya
04/09/2024 09:36;979;1657;799;Bahaya
05/09/2024 09:36;883;1551;628;Bahaya
06/09/2024 09:36;449;3425;82;Bahaya
07/09/2024 09:36;427;3172;874;Bahaya
08/09/2024 09:36;428;2892;921;Bahaya
09/09/2024 09:36;513;2318;61;Waspada
10/09/2024 09:36;667;1847;277;Waspada
11/09/2024 09:36;602;1813;806;Bahaya
12/09/2024 09:36;504;200;748;Bahaya
13/09/2024 09:36;728;2598;185;Normal
14/09/2024 09:36;398;2929;209;Bahaya
15/09/2024 09:36;505;282;37;Waspada
16/09/2024 09:36;556;206;485;Waspada
17/09/2024 09:36;619;341;618;Bahaya
18/09/2024 09:36;85;2976;369;Waspada
19/09/2024 09:36;44;2609;463;Bahaya
20/09/2024 09:36;66;2723;747;Bahaya
21/09/2024 09:36;715;2339;37;Normal
22/09/2024 09:36;333;1995;252;Bahaya
23/09/2024 09:36;725;2212;713;Bahaya
24/09/2024 09:36;419;3016;895;Bahaya
25/09/2024 09:36;346;1529;512;Bahaya
26/09/2024 09:36;964;1732;532;Bahaya
27/09/2024 09:36;976;1592;107;Bahaya
28/09/2024 09:36;866;1581;447;Bahaya
29/09/2024 09:36;513;3211;533;Bahaya
30/09/2024 09:36;368;2907;242;Bahaya
01/10/2024 09:36;779;2448;269;Normal
02/10/2024 09:36;608;1696;377;Bahaya
03/10/2024 09:36;385;2483;2;Bahaya
04/10/2024 09:36;647;2447;322;Waspada
05/10/2024 09:36;324;1846;211;Bahaya
06/10/2024 09:36;937;2368;327;Bahaya
07/10/2024 09:36;481;2297;12;Bahaya
08/10/2024 09:36;764;2732;891;Bahaya
09/10/2024 09:36;518;277;594;Bahaya
10/10/2024 09:36;664;1591;679;Bahaya
11/10/2024 09:36;683;2249;789;Bahaya
12/10/2024 09:36;429;2752;498;Bahaya
13/10/2024 09:36;979;2506;87;Bahaya
14/10/2024 09:36;843;3213;537;Bahaya
15/10/2024 09:36;958;2817;587;Bahaya
16/10/2024 09:36;926;1826;745;Bahaya
17/10/2024 09:36;719;1641;432;Bahaya
18/10/2024 09:36;945;2785;128;Bahaya
19/10/2024 09:36;362;1553;284;Bahaya
20/10/2024 09:36;437;2672;363;Bahaya
21/10/2024 09:36;332;338;646;Bahaya
22/10/2024 09:36;528;2651;571;Bahaya
23/10/2024 09:36;572;2276;356;Waspada
24/10/2024 09:36;49;2787;987;Bahaya
25/10/2024 09:36;88;2417;606;Bahaya
26/10/2024 09:36;55;2591;237;Waspada
27/10/2024 09:36;497;3383;102;Bahaya
28/10/2024 09:36;68;2272;153;Normal
29/10/2024 09:36;399;3422;246;Bahaya
30/10/2024 09:36;862;3311;161;Bahaya
31/10/2024 09:36;352;1892;187;Bahaya
01/11/2024 09:36;991;1639;285;Bahaya
02/11/2024 09:36;841;1702;173;Bahaya
03/11/2024 09:36;439;1536;897;Bahaya
04/11/2024 09:36;304;1689;8;Bahaya
05/11/2024 09:36;871;2866;525;Bahaya
06/11/2024 09:36;795;1642;41;Bahaya
07/11/2024 09:36;81;2138;982;Bahaya
08/11/2024 09:36;84;319;112;Waspada
09/11/2024 09:36;352;1547;398;Bahaya
10/11/2024 09:36;551;3129;969;Bahaya
11/11/2024 09:36;381;2064;866;Bahaya
12/11/2024 09:36;904;1736;817;Bahaya
13/11/2024 09:36;736;2893;258;Normal
14/11/2024 09:36;532;2758;171;Waspada
15/11/2024 09:36;344;3255;669;Bahaya
16/11/2024 09:36;518;297;929;Bahaya
17/11/2024 09:36;528;3107;557;Bahaya
18/11/2024 09:36;811;2064;572;Bahaya
19/11/2024 09:36;746;1855;28;Waspada
20/11/2024 09:36;921;3001;769;Bahaya
21/11/2024 09:36;631;3114;187;Waspada
22/11/2024 09:36;384;3481;324;Bahaya
23/11/2024 09:36;799;2325;425;Waspada
24/11/2024 09:36;833;2244;508;Bahaya
25/11/2024 09:36;693;3053;242;Normal
26/11/2024 09:36;84;2182;115;Normal
27/11/2024 09:36;646;3362;611;Bahaya
28/11/2024 09:36;666;3217;289;Bahaya
29/11/2024 09:36;599;2358;581;Bahaya
30/11/2024 09:36;318;3002;154;Bahaya
